,precision,recall,f1-score,support
No Finding,0.703921568627451,0.7494780793319415,0.7259858442871587,479.0
Infiltration,0.32727272727272727,0.4931506849315068,0.39344262295081966,146.0
Effusion,0.34285714285714286,0.5517241379310345,0.42290748898678415,87.0
Atelectasis,0.28125,0.625,0.3879310344827586,72.0
Nodule,0.12162162162162163,0.20454545454545456,0.15254237288135594,44.0
Mass,0.10714285714285714,0.07894736842105263,0.09090909090909091,38.0
Pneumothorax,0.35294117647058826,0.3,0.32432432432432434,40.0
Consolidation,0.1346153846153846,0.20588235294117646,0.16279069767441862,34.0
Pleural_Thickening,0.14285714285714285,0.07692307692307693,0.1,26.0
Cardiomegaly,0.02564102564102564,0.0625,0.03636363636363636,16.0
Pneumonia,0.0,0.0,0.0,12.0
micro avg,0.4379905808477237,0.5613682092555332,0.49206349206349204,994.0
macro avg,0.23092005882781283,0.3043773777295676,0.2542906466236679,994.0
weighted avg,0.4701013210925627,0.5613682092555332,0.5047987053581731,994.0
samples avg,0.5144246031746031,0.5828373015873015,0.5291449357520785,994.0
